round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
10,0.17639019584655763,0.9493,0.0049,0.9488951001659357,0.9034907597535934,0.4461103680150377,60,60,40,0,0,0.013292800002091099,63.93386359999931,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.325
11,0.1653536937713623,0.9521,0.0051,0.9517408905385828,0.9055441478439425,0.426302543108662,60,60,40,0,0,0.006821200000558747,64.46262560000105,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.325
12,0.15759040851593017,0.9538,0.0048,0.9534601462540445,0.9096509240246407,0.4012990781789025,60,60,40,0,0,0.011572899999009678,63.94238519999999,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.325
13,0.1455241334915161,0.9565,0.0043,0.9562236639601547,0.9158110882956879,0.38577368383399313,60,60,40,0,0,0.010561200000665849,64.6153505000002,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.325
14,0.1413304292678833,0.9572,0.0044,0.9569378127474153,0.9168377823408624,0.37199800693326524,60,60,40,0,0,0.008975799999461742,63.18148040000233,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.325
15,0.1351705986022949,0.9598,0.0044,0.9595819215852787,0.9291581108829569,0.35873402908030483,60,60,40,0,0,0.013795599999866681,64.37488860000303,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.325
16,0.13012874298095703,0.9606,0.0041,0.9603894724959838,0.9281314168377823,0.3475888712373045,60,60,40,0,0,0.014502099998935591,67.05707980000079,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.325
17,0.12491141529083252,0.9611,0.0041,0.9609044728437859,0.9260780287474333,0.3345143902550142,60,60,40,0,0,0.010921499997493811,65.5294094000019,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.325
18,0.12072005844116211,0.9637,0.0041,0.9635442353989889,0.9363449691991786,0.3262803562854727,60,60,40,0,0,0.012834999997721752,64.08567849999963,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.325
19,0.1163728078842163,0.9643,0.004,0.9641690061437684,0.9363449691991786,0.3131348903311623,60,60,40,0,0,0.013704699998925207,66.49482519999947,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.325
