round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
46,0.07632488241195678,0.9745,0.0019,0.9743720105990533,0.9527720739219713,0.1996513578766543,60,60,40,0,0,0.0070887000001675915,59.11980489999951,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
47,0.07460783376693726,0.9751,0.0021,0.9749847517672474,0.9548254620123203,0.19661746457063906,60,60,40,0,0,0.008452999998553423,59.37418590000016,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
48,0.07400741958618164,0.9752,0.0019,0.9750655187195594,0.9548254620123203,0.19435785795665447,60,60,40,0,0,0.005469499999890104,59.06023240000104,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
49,0.07481639556884766,0.9752,0.0021,0.9750549178860295,0.9527720739219713,0.18949031093416527,60,60,40,0,0,0.008409399999436573,58.92624329999853,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
50,0.07354851045608521,0.9757,0.002,0.9755677717912654,0.9558521560574949,0.1925192085891548,60,60,40,0,0,0.00787280000076862,59.05801840000095,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
51,0.0726547694683075,0.9758,0.0018,0.9756675308707845,0.9568788501026694,0.18798905173006158,60,60,40,0,0,0.008796300000540214,58.6263084000002,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
52,0.0724721188545227,0.9763,0.0017,0.9761829113793216,0.9589322381930184,0.19148076652187027,60,60,40,0,0,0.008060000000114087,60.552742200001376,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
53,0.07084077138900757,0.9767,0.0018,0.9765939287255604,0.9593657086223984,0.1871857498596526,60,60,40,0,0,0.0051220999994257,58.61378499999955,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
54,0.07048434238433837,0.9762,0.0021,0.9760627002851454,0.9579055441478439,0.18198459278016044,60,60,40,0,0,0.008567700000639888,58.757701700000325,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
55,0.07026485443115234,0.9765,0.0019,0.9763757148466222,0.9579055441478439,0.18255216440289387,60,60,40,0,0,0.005885300000954885,58.81340520000049,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
56,0.07003386487960815,0.9764,0.002,0.9762652053888626,0.9589322381930184,0.180146010672001,60,60,40,0,0,0.006526099999973667,58.64917729999979,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
57,0.06985491390228271,0.9769,0.0018,0.9767921726774338,0.9579055441478439,0.1786266203126353,60,60,40,0,0,0.007831000000805943,58.85150220000105,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
58,0.06982921504974365,0.9771,0.0017,0.9770100769631295,0.9599589322381931,0.1781044858176675,60,60,40,0,0,0.008994800000436953,58.517840100001195,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
