round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
13,0.8917445831298828,0.5936,0.3561,0.5950124949351777,0.0048638132295719845,0.6437063718537489,100,100,0,40,23960,0.024059700001089368,104.41423809999833,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
14,0.4426886947631836,0.9363,0.0195,0.9357457892629757,0.8732673267326733,0.625364767258366,100,100,0,40,23960,0.013917100000981009,102.49541739999768,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
15,1.2602612243652345,0.2332,0.7223,0.23523256426281342,0.0,0.6143028467843931,100,100,0,40,23960,0.011275400000158697,104.7966865999988,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
16,0.2990783706665039,0.9507,0.0099,0.9504425986325329,0.9114785992217899,0.604703648875157,100,100,0,40,23960,0.011498100000608247,104.74759260000064,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
17,1.5444617340087892,0.1084,0.8491,0.1107502199124117,0.0,0.6329231546844046,100,100,0,40,23960,0.009017899999889778,95.85678539999935,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
18,0.23212976760864257,0.9541,0.0084,0.9539577212795869,0.9182879377431906,0.6056627159540853,100,100,0,40,23960,0.010680799998226576,97.187899499997,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
19,1.5700132385253907,0.0931,0.8671,0.09525436073546097,0.0,0.6477648193339506,100,100,0,40,23960,0.015542000001005363,95.25842180000109,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
20,0.21966974487304688,0.9587,0.0074,0.9586073105655993,0.9217046580773043,0.5852153761883576,100,100,0,40,23960,0.011374400000931928,95.98705450000125,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
21,1.5472807525634766,0.1011,0.8621,0.1034527621274596,0.0,0.6385821126935383,100,100,0,40,23960,0.014926500000001397,94.84973650000029,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
22,0.20868572425842286,0.9592,0.0078,0.9591098450164381,0.9246778989098117,0.5788286910640698,100,100,0,40,23960,0.008772600001975661,95.04031609999947,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
23,1.5339682067871094,0.096,0.8694,0.09844262633320006,0.0,0.6290652205298344,100,100,0,40,23960,0.014790799999900628,95.11485920000268,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
24,0.20280126266479492,0.9625,0.0068,0.9624605046962905,0.9306243805748265,0.5586370969898999,100,100,0,40,23960,0.01363639999908628,95.1398412999988,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
25,1.6197287811279297,0.0854,0.8822,0.0874916651571088,0.0,0.5996269376588365,100,100,0,40,23960,0.014188100001774728,94.92652399999861,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
26,0.18819326095581054,0.9634,0.0061,0.9634088669811444,0.9375619425173439,0.5456340908724815,100,100,0,40,23960,0.01227610000205459,95.04828559999805,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
27,1.5701183898925781,0.09,0.8781,0.09222563867475694,0.0,0.6039100646935404,100,100,0,40,23960,0.007131300000764895,95.05047149999882,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
28,0.1852660217285156,0.9639,0.0063,0.9638961789021498,0.9373716632443532,0.5345915385956566,100,100,0,40,23960,0.00891340000089258,96.13990139999805,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
29,1.6772121765136718,0.0759,0.8923,0.0778651129373013,0.0,0.5767749761094649,100,100,0,40,23960,0.009283299998060102,94.1186818999995,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
30,0.1756570785522461,0.9653,0.0058,0.9652947895590513,0.9395441030723488,0.5243558451756836,100,100,0,40,23960,0.01339400000142632,94.48797209999975,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
31,1.574235174560547,0.08,0.8893,0.08206263075156706,0.0,0.5814838123737524,100,100,0,40,23960,0.008743599999434082,95.23390659999859,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
32,0.17307852478027344,0.9665,0.0059,0.9664904323466539,0.9405351833498513,0.5092206473021457,100,100,0,40,23960,0.01532500000030268,96.1897433999984,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
33,1.622165707397461,0.0702,0.9,0.07204361147698111,0.0,0.5584281363363067,100,100,0,40,23960,0.009279799996875226,94.1733327999973,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
34,0.1694165828704834,0.9667,0.0058,0.966695036843624,0.9395441030723488,0.5013142212318877,100,100,0,40,23960,0.0086689000017941,94.11731709999731,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
35,1.6197295959472657,0.0752,0.8963,0.07713573204224541,0.0,0.5522820409586032,100,100,0,40,23960,0.013932300000305986,94.29709219999859,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
36,0.16485371856689454,0.9678,0.0055,0.9678519975497013,0.9395441030723488,0.498820994572714,100,100,0,40,23960,0.014711899999383604,93.95376380000016,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
37,1.5745597717285156,0.0628,0.9091,0.06446566344050886,0.0,0.541176670525223,100,100,0,40,23960,0.009085799996682908,93.85692970000309,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
38,0.16336333618164062,0.9681,0.0053,0.9681470460906576,0.9415262636273538,0.4797970242515827,100,100,0,40,23960,0.012800599997717654,94.43038560000059,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
