round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
11,0.8829017913818359,0.6448,0.294,0.6498811252089602,0.17142857142857143,0.6869347584843637,100,100,0,40,23960,0.014940799999749288,94.1319657999993,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
12,0.48448626251220706,0.9288,0.0197,0.9274723028711515,0.7915811088295688,0.6576735147784154,100,100,0,40,23960,0.01307739999901969,93.19666620000498,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
13,1.1135181457519532,0.3753,0.57,0.3789632127516823,0.0048638132295719845,0.6482923909599582,100,100,0,40,23960,0.013186899996071588,93.2449542999966,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
14,0.35500528030395506,0.9401,0.0132,0.9390852491647946,0.8223819301848049,0.6291931165556113,100,100,0,40,23960,0.013083199999528006,93.12428599999839,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
15,1.3783816162109375,0.1197,0.832,0.1198696596359506,0.0010204081632653062,0.6346358594323198,100,100,0,40,23960,0.012710900002275594,93.2217759999985,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
16,0.27109123916625977,0.948,0.0106,0.9473670859990906,0.8542094455852156,0.6240665587161979,100,100,0,40,23960,0.009410499995283317,92.97068549999676,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
17,1.3796465545654297,0.0559,0.8994,0.055988671870640515,0.0010438413361169101,0.6486412019766867,100,100,0,40,23960,0.012956500002474058,92.73119199999928,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
18,0.23922776412963867,0.9526,0.0097,0.9521215952981231,0.86652977412731,0.6037769088608523,100,100,0,40,23960,0.01314480000291951,92.50114349999785,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
19,1.492388720703125,0.0301,0.927,0.030516153543349557,0.0,0.6196848829165101,100,100,0,40,23960,0.012795100003131665,92.64318160000403,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
20,0.21892904052734374,0.9554,0.0087,0.9550185162681608,0.8767967145790554,0.5928708939142525,100,100,0,40,23960,0.013552799995522946,85.32069500000216,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
