round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
39,0.07680964865684509,0.9759,0.0016,0.9758674808163017,0.9579055441478439,0.2252531913217778,60,60,40,0,0,0.005357400001230417,50.96102179999798,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
40,0.07582405023574829,0.9767,0.0015,0.9766579012116873,0.9623389494549058,0.222525133618878,60,60,40,0,0,0.005200800002057804,53.20141479999802,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
41,0.0752470178604126,0.9763,0.0015,0.9762361426230873,0.9620622568093385,0.21994097444642746,60,60,40,0,0,0.005600700002105441,52.83843120000165,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
42,0.07524411497116089,0.9764,0.0015,0.9763671621483365,0.9609856262833676,0.21587296571582557,60,60,40,0,0,0.006812300001911353,41.409392199999274,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
43,0.07323998022079468,0.9769,0.0016,0.9768697156489807,0.9630350194552529,0.21597073506149977,60,60,40,0,0,0.008761599998251768,51.35585690000153,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
44,0.0719863832950592,0.9772,0.0014,0.9771526601564491,0.9643211100099108,0.21103775005373687,60,60,40,0,0,0.006271199999901,54.47295779999695,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
45,0.07177516827583313,0.977,0.0014,0.9769562524259809,0.9630350194552529,0.21120693552514747,60,60,40,0,0,0.006356100002449239,53.121758400000544,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
46,0.07086862916946411,0.9776,0.0014,0.9775683808016877,0.9640657084188912,0.2072436566255055,60,60,40,0,0,0.005128499997226754,52.784464399999706,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
47,0.07033655505180358,0.9783,0.0014,0.9782745835822645,0.9640657084188912,0.20303179578545197,60,60,40,0,0,0.004750399999466026,41.24347819999821,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
48,0.06959635176658631,0.9781,0.0014,0.9780533653704522,0.9649805447470817,0.20539467465442918,60,60,40,0,0,0.0054209000008995645,51.42706520000138,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
49,0.06881380939483643,0.9789,0.0014,0.9788701133318428,0.9640657084188912,0.20116976707449394,60,60,40,0,0,0.00694889999795123,42.12776759999906,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
50,0.06821833848953247,0.9788,0.0015,0.9787568039605846,0.9669260700389105,0.19923178976453426,60,60,40,0,0,0.006451400000514695,52.23357069999838,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
51,0.06726775908470153,0.979,0.0014,0.9789921996701623,0.9682854311199207,0.19859590051074824,60,60,40,0,0,0.006173800000397023,53.71827050000138,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
52,0.06772366266250611,0.9785,0.0014,0.9784485914989192,0.9661190965092402,0.19369265783785114,60,60,40,0,0,0.0063786000027903356,53.33700830000089,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
53,0.06666491231918335,0.9794,0.0014,0.979348476303153,0.9678988326848249,0.19688419173212926,60,60,40,0,0,0.00636070000109612,53.0930417999989,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
54,0.06619080867767334,0.9799,0.0014,0.9798731850525707,0.9678988326848249,0.189247240936901,60,60,40,0,0,0.004725999999209307,52.974076700000296,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
55,0.06544532117843628,0.9796,0.0013,0.9795497898008187,0.9682854311199207,0.18914719746034173,60,60,40,0,0,0.006507199999759905,52.93835310000213,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
