round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
10,0.5395006637573242,0.9229,0.0141,0.9222662876986438,0.8711595639246779,0.7838042989174525,100,100,0,40,23960,0.012259900002391078,89.06873159999668,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
11,1.2188009033203124,0.3382,0.5894,0.3475305375107306,0.0009727626459143969,0.7547685049623252,100,100,0,40,23960,0.0070464999953401275,76.42587169999751,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
12,0.42254854583740237,0.9363,0.0099,0.9357855783803964,0.8949454905847374,0.7294013444632292,100,100,0,40,23960,0.008735000003071036,94.00597209999978,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
13,1.3763836547851562,0.2124,0.7244,0.21748952409704927,0.0019455252918287938,0.7157997030789653,100,100,0,40,23960,0.010715399999753572,91.07871000000159,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
14,0.33901545867919924,0.9457,0.0069,0.9451807540830488,0.8993839835728953,0.6993222335726023,100,100,0,40,23960,0.010352500001317821,91.07194380000146,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
15,1.4417054565429688,0.1323,0.809,0.13591520838368754,0.0009727626459143969,0.6908725843379895,100,100,0,40,23960,0.008885700000973884,92.26615949999541,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
16,0.2924775894165039,0.9479,0.0075,0.9474192741042315,0.8870636550308009,0.6725682987819116,100,100,0,40,23960,0.010588400000415277,77.61347150000074,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
17,1.4420467864990234,0.1007,0.8458,0.10412799260181768,0.0,0.6744597005657852,100,100,0,40,23960,0.012091200005670544,91.27810339999996,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
18,0.260473063659668,0.9534,0.005,0.953039078124459,0.919917864476386,0.6455853227724632,100,100,0,40,23960,0.01125569999567233,91.26071689999662,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
19,1.4738299743652343,0.0886,0.8614,0.09182987042746533,0.0,0.6470055716832478,100,100,0,40,23960,0.011997699999483302,91.07512189999397,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
20,0.24539809951782227,0.9551,0.0057,0.9548083892000067,0.9219712525667351,0.624015039836367,100,100,0,40,23960,0.008806099998764694,90.81163309999829,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
21,1.4619733551025391,0.0751,0.8776,0.07740841693032276,0.0,0.6290158212234576,100,100,0,40,23960,0.01312589999724878,90.38050039999507,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
22,0.23441230545043945,0.9575,0.0048,0.957298540388311,0.9312114989733059,0.604400436843435,100,100,0,40,23960,0.009029600005305838,78.8479531999983,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
23,1.449079684448242,0.0873,0.8678,0.0902246284747219,0.0,0.6133537689223885,100,100,0,40,23960,0.008507899998221546,91.83860389999609,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
24,0.2234404796600342,0.9585,0.0054,0.9583312188124626,0.9322381930184805,0.5811971588190645,100,100,0,40,23960,0.017019099999743048,92.82673150000483,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
25,1.4462076965332031,0.0726,0.8855,0.07506549094328172,0.0,0.594647301081568,100,100,0,40,23960,0.013899300000048243,78.24047009999776,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
26,0.21398618278503417,0.9606,0.0045,0.9604601625805624,0.9406614785992218,0.5672729194598893,100,100,0,40,23960,0.009537700003420468,91.9313811999964,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
27,1.5001235321044921,0.0695,0.892,0.0717944465370957,0.0,0.5747373136753837,100,100,0,40,23960,0.011570800001209136,90.53671630000463,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
28,0.2002629695892334,0.962,0.0053,0.9618584786762648,0.9373716632443532,0.5544048022950689,100,100,0,40,23960,0.008623200003057718,90.84383030000026,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
29,1.4403257934570313,0.0646,0.8982,0.06657569159746565,0.0,0.5738942141383886,100,100,0,40,23960,0.008379099999729078,91.67858780000097,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
30,0.19803311920166017,0.9627,0.0049,0.9625625488834176,0.9414784394250514,0.5376438628435134,100,100,0,40,23960,0.010409499998786487,90.60882649999985,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
31,1.4849186279296875,0.0607,0.9041,0.062494385486144256,0.0,0.5568559292256833,100,100,0,40,23960,0.018266499995661434,90.52245029999904,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
32,0.19307541961669922,0.9632,0.0056,0.9629966148627555,0.9332648870636551,0.5289025772114595,100,100,0,40,23960,0.007043999998131767,90.3415015999999,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
33,1.4907876953125,0.0572,0.9091,0.05885665303135149,0.0,0.5491110351483026,100,100,0,40,23960,0.008854899999278132,90.32277820000309,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
